NDID,Product_Name,grams_Pro_per_100g,grams_Fat_per_100g,grams_Cho_per_100g,Category_1,Category_2,Category_3,Serving_Size,Store,Package_Amount,Price_per_Package
ND01411,Campbell's Condensed Cream of Chicken with Herbs Soup (Great for Cooking) (canned),1.666666667,5,7.916666667,Sauces_Soups_Condiments_Dressing,Soups,Null,0.5 cup,PB,298,1.75
ND01387,Ragu Pizza Sauce- Homemade Style ,1.587301587,1.587301587,7.936507937,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.25 cup,PB,396,1.39
ND00173,Earth's Best Stage 2 Baby Food-Winter Squash (jar),0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 jar,PB,113,1.19
ND00171,Gerber Second Foods All Natural Baby Food-Butternut Squash (plastic),0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 pack,WD,226,1.11
ND00174,Gerber Second Foods All Natural Baby Food-Green Beans (jar),0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 jar,WD,113,0.69
ND00170,Gerber Second Foods All Natural Baby Food-Green Beans (plastic),0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 pack,PB,226,1.07
ND00175,Gerber Second Foods All Natural Baby Food-Squash (jar),0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 jar,PB,113,0.63
ND00179,Gerber Second Foods Baby Food-Carrots (plastic),0.884955752,0,7.96460177,Baby_Foods,Baby_Vegetables,Stage_2,1 pack,PB,226,1.07
ND01673,Publix Sweet Green Peas (no salt added) (canned),3.2,0.4,8,Vegetables,Green,Peas,0.5 cup,PB,425,1.25
ND01741,"Morningstar Farms - Grillers Crumbles, veggie crumbles (frozen)",18,4,8,Vegetables,Processed,Soy products,0.5 cup,WD,340,4.79
ND01656,Great Value Cut Green Beans (frozen),1.234567901,0,8.024691358,Vegetables,Green,Green_Beans,.66 cup (81g),SW,340,0.98
ND01657,Publix Cut Green Beans (frozen bag),1.234567901,0,8.024691358,Vegetables,Green,Green_Beans,.66 cup,PB,425,1.69
ND00719,KetoCal 4:1,14.4,69.1,8.1,Formulas,Fat,Null,100 g of powder,I,1800,178
ND01705,Farmer's Market Organic Pumpkin (canned),0.81300813,0,8.130081301,Vegetables,Orange,Pumpkin,0.5 cup,PB,425,2.19
ND00815,"Melons, cantaloupe, raw",0.84,0.19,8.16,Fruits,Melons,Null,"177g=1 cup, balls / 160g=1 cup, cubes",I,100,1
ND01017,"Johnsonville Brown Sugar and Honey Breakfast Sausage, Raw (links)",16.36363636,25.45454545,8.181818182,Meats,Bacon_and_Sausage,Prepared_Sausage,3 skillet-cooked links,PB,340,3.33
ND00178,Gerber Second Foods All Natural Baby Food-Garden Vegetables (plastic),1.769911504,0,8.185840708,Baby_Foods,Baby_Vegetables,Stage_2,1 pack,PB,226,1.07
ND01897,Great Value Sliced Pears - No Sugar Added,0,0,8.196721311,Fruits,Pears,Other,0.5 cup,SW,411,1.08
ND01675,Green Giant Sweet Peas (canned) - 50% Less Sodium,3.278688525,0,8.196721311,Vegetables,Green,Peas,0.5 cup,PB,425,1.39
ND01710,Publix Mixed Vegetables (canned),0.8,0,8.2,Vegetables,Other,Null,0.5 cup,PB,425,0.8
ND01697,"Carrots, cooked, boiled, drained, without salt",0.76,0.18,8.22,Vegetables,Orange,Carrot,"9g=1 tbsp / 78g=.5 cup, slices",PB,454,1.25
ND00138,Gerber Third Foods Baby Food-Herbed Chicken with Pasta Dinner (jar),2.352941176,1.176470588,8.235294118,Baby_Foods,Baby_Mixed_Dishes,Stage_3,1 jar,WM,170,0.72
